"Feature","Gain","Cover","Frequency"
"cluster_mean_AQI",0.296165612252857,0.0619430114336205,0.0274234693877551
"Neighbor_Wanliu",0.0804415416235186,0.0254722338727665,0.0216836734693878
"Neighbor_Wanshouxigong",0.0679662921577119,0.0249165293540209,0.00956632653061225
"tcwv_lag24",0.064520433389833,0.075389828193162,0.0994897959183673
"month_cos",0.0603339497094591,0.0445751198189246,0.0459183673469388
"Neighbor_Dingling",0.0561837215847041,0.0718236106924897,0.0637755102040816
"PRES",0.0544250310963474,0.11745137708677,0.0784438775510204
"WSPM",0.0384771721078471,0.0872285861892371,0.0573979591836735
"AQI_roll72_mean",0.0283011301773204,0.0645490549482537,0.0650510204081633
"Neighbor_Gucheng",0.0273224789759,0.0362908100120719,0.0229591836734694
"Neighbor_Nongzhanguan",0.0256009589353534,0.0341665073610363,0.0184948979591837
"AQI_roll24_sd",0.0195560536443349,0.0683088834288446,0.0440051020408163
"month_sin",0.0187890716483642,0.0197962761916565,0.0433673469387755
"AQI_lag168",0.0175793117507838,0.0260571354142345,0.0427295918367347
"DEWP",0.0166649612511588,0.0182569691885262,0.048469387755102
"roll24_x_neighbor",0.0136962856852159,0.00942287455828384,0.0204081632653061
"Neighbor_Dongsi",0.0134535652592465,0.0128341327953067,0.0108418367346939
"is_holiday",0.0112273042357048,0.0328868800635667,0.0248724489795918
"TEMP",0.0110929095646922,0.0100868895795084,0.0318877551020408
"AQI_lag72",0.00750820606498676,0.0063290948992077,0.0210459183673469
"AQI_roll24",0.00747861064107793,0.00513606855004979,0.0184948979591837
"Neighbor_Huairou",0.00747389130906831,0.0205251185345576,0.0178571428571429
"AQI_lag48",0.00617079981048358,0.0195631365035645,0.0235969387755102
"Neighbor_Changping",0.00609068848037905,0.0105304963122419,0.00892857142857143
"AQI_x_temp",0.00591581297926826,0.0132274716735648,0.0165816326530612
"Neighbor_Tiantan",0.0053888512175541,0.00460432613317166,0.0108418367346939
"wind_u_lag6",0.00516589191177876,0.0250600737070586,0.014030612244898
"Neighbor_Shunyi",0.00494704686516529,0.0129095931432598,0.014030612244898
"Neighbor_Aotizhongxin",0.00462596143515029,0.00696982458400719,0.00829081632653061
"AQI_lag24",0.00413043472351119,0.00437526706037984,0.017219387755102
"hour_cos",0.00229335856336365,0.00455498332495186,0.00892857142857143
"Neighbor_Guanyuan",0.00213603706408593,0.00514480593229538,0.0076530612244898
"hour_sin",0.00213184466116331,0.00247328085602043,0.0108418367346939
"wind_v_lag6",0.00158674498460279,0.00610081270508934,0.00573979591836735
"zone_industrial",0.00137494970590684,0.00523208564831401,0.0038265306122449
"is_spring_festival",0.000977394996178279,0.000882496880866007,0.00255102040816327
"AQI_x_wind_speed",0.000922823979939362,0.00083210588711643,0.00318877551020408
"zone_residential",0.000646767169746259,0.000250015415679255,0.00318877551020408
"AQI_lag1",0.000598111606671007,0.00369609389483207,0.00318877551020408
"high_persist_flag",0.000594562757969497,0.000142379957946411,0.00191326530612245
"wind_u_lag12",4.34240215960449e-05,3.75821354467412e-06,0.00127551020408163
